"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 11 04:05:24 GMT 2025","Mon Aug 11 04:05:24 GMT 2025","390","chromium","example.spec.js","","","","has title",""
"passed","Mon Aug 11 04:05:27 GMT 2025","Mon Aug 11 04:05:28 GMT 2025","904","firefox","example.spec.js","","","","get started link",""
"passed","Mon Aug 11 04:05:24 GMT 2025","Mon Aug 11 04:05:25 GMT 2025","353","chromium","example.spec.js","","","","get started link",""
"passed","Mon Aug 11 04:05:25 GMT 2025","Mon Aug 11 04:05:26 GMT 2025","1177","firefox","example.spec.js","","","","has title",""
"passed","Mon Aug 11 04:05:32 GMT 2025","Mon Aug 11 04:05:33 GMT 2025","938","webkit","example.spec.js","","","","get started link",""
"passed","Mon Aug 11 04:05:29 GMT 2025","Mon Aug 11 04:05:31 GMT 2025","2758","webkit","example.spec.js","","","","has title",""
