"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 29 04:07:20 GMT 2025","Tue Jul 29 04:07:20 GMT 2025","445","chromium","example.spec.js","","","","has title",""
"passed","Tue Jul 29 04:07:30 GMT 2025","Tue Jul 29 04:07:31 GMT 2025","941","webkit","example.spec.js","","","","get started link",""
"passed","Tue Jul 29 04:07:23 GMT 2025","Tue Jul 29 04:07:23 GMT 2025","366","chromium","example.spec.js","","","","get started link",""
"passed","Tue Jul 29 04:07:27 GMT 2025","Tue Jul 29 04:07:29 GMT 2025","2117","webkit","example.spec.js","","","","has title",""
"passed","Tue Jul 29 04:07:25 GMT 2025","Tue Jul 29 04:07:26 GMT 2025","689","firefox","example.spec.js","","","","get started link",""
"passed","Tue Jul 29 04:07:24 GMT 2025","Tue Jul 29 04:07:25 GMT 2025","1147","firefox","example.spec.js","","","","has title",""
