"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 27 03:52:54 GMT 2025","Mon Oct 27 03:52:54 GMT 2025","406","chromium","example.spec.js","","","","get started link",""
"passed","Mon Oct 27 03:53:03 GMT 2025","Mon Oct 27 03:53:04 GMT 2025","1280","webkit","example.spec.js","","","","get started link",""
"passed","Mon Oct 27 03:52:53 GMT 2025","Mon Oct 27 03:52:53 GMT 2025","348","chromium","example.spec.js","","","","has title",""
"passed","Mon Oct 27 03:52:55 GMT 2025","Mon Oct 27 03:52:56 GMT 2025","1278","firefox","example.spec.js","","","","has title",""
"passed","Mon Oct 27 03:52:58 GMT 2025","Mon Oct 27 03:53:02 GMT 2025","3811","webkit","example.spec.js","","","","has title",""
"passed","Mon Oct 27 03:52:56 GMT 2025","Mon Oct 27 03:52:57 GMT 2025","815","firefox","example.spec.js","","","","get started link",""
