"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 21 03:30:03 GMT 2025","Fri Mar 21 03:30:04 GMT 2025","916","webkit","example.spec.js","","","","get started link",""
"passed","Fri Mar 21 03:30:00 GMT 2025","Fri Mar 21 03:30:00 GMT 2025","633","firefox","example.spec.js","","","","get started link",""
"passed","Fri Mar 21 03:30:01 GMT 2025","Fri Mar 21 03:30:03 GMT 2025","1572","webkit","example.spec.js","","","","has title",""
"passed","Fri Mar 21 03:29:57 GMT 2025","Fri Mar 21 03:29:58 GMT 2025","1162","firefox","example.spec.js","","","","has title",""
"passed","Fri Mar 21 03:29:53 GMT 2025","Fri Mar 21 03:29:53 GMT 2025","488","chromium","example.spec.js","","","","has title",""
"passed","Fri Mar 21 03:29:55 GMT 2025","Fri Mar 21 03:29:56 GMT 2025","676","chromium","example.spec.js","","","","get started link",""
