"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Feb 17 16:51:25 GMT 2025","Mon Feb 17 16:51:25 GMT 2025","6","webkit","example.spec.js","","","","has title",""
"failed","Mon Feb 17 16:51:22 GMT 2025","Mon Feb 17 16:51:22 GMT 2025","6","firefox","example.spec.js","","","","has title",""
"failed","Mon Feb 17 16:51:19 GMT 2025","Mon Feb 17 16:51:19 GMT 2025","7","chromium","example.spec.js","","","","has title",""
"failed","Mon Feb 17 16:51:26 GMT 2025","Mon Feb 17 16:51:26 GMT 2025","6","webkit","example.spec.js","","","","get started link",""
"failed","Mon Feb 17 16:51:21 GMT 2025","Mon Feb 17 16:51:21 GMT 2025","6","chromium","example.spec.js","","","","get started link",""
"failed","Mon Feb 17 16:51:23 GMT 2025","Mon Feb 17 16:51:23 GMT 2025","6","firefox","example.spec.js","","","","get started link",""
