"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 26 03:32:05 GMT 2025","Fri Sep 26 03:32:05 GMT 2025","426","chromium","example.spec.js","","","","get started link",""
"passed","Fri Sep 26 03:32:07 GMT 2025","Fri Sep 26 03:32:08 GMT 2025","795","firefox","example.spec.js","","","","get started link",""
"passed","Fri Sep 26 03:32:14 GMT 2025","Fri Sep 26 03:32:16 GMT 2025","1853","webkit","example.spec.js","","","","get started link",""
"passed","Fri Sep 26 03:32:05 GMT 2025","Fri Sep 26 03:32:07 GMT 2025","1264","firefox","example.spec.js","","","","has title",""
"passed","Fri Sep 26 03:32:03 GMT 2025","Fri Sep 26 03:32:04 GMT 2025","333","chromium","example.spec.js","","","","has title",""
"passed","Fri Sep 26 03:32:09 GMT 2025","Fri Sep 26 03:32:13 GMT 2025","4382","webkit","example.spec.js","","","","has title",""
