"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 15 03:36:10 GMT 2025","Tue Apr 15 03:36:11 GMT 2025","1139","firefox","example.spec.js","","","","has title",""
"passed","Tue Apr 15 03:36:09 GMT 2025","Tue Apr 15 03:36:09 GMT 2025","378","chromium","example.spec.js","","","","get started link",""
"passed","Tue Apr 15 03:36:11 GMT 2025","Tue Apr 15 03:36:13 GMT 2025","1529","firefox","example.spec.js","","","","get started link",""
"passed","Tue Apr 15 03:36:08 GMT 2025","Tue Apr 15 03:36:09 GMT 2025","282","chromium","example.spec.js","","","","has title",""
"passed","Tue Apr 15 03:36:15 GMT 2025","Tue Apr 15 03:36:15 GMT 2025","615","webkit","example.spec.js","","","","has title",""
"passed","Tue Apr 15 03:36:16 GMT 2025","Tue Apr 15 03:36:17 GMT 2025","883","webkit","example.spec.js","","","","get started link",""
