"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 03 03:50:28 GMT 2025","Mon Nov 03 03:50:32 GMT 2025","4014","webkit","example.spec.js","","","","has title",""
"passed","Mon Nov 03 03:50:23 GMT 2025","Mon Nov 03 03:50:24 GMT 2025","360","chromium","example.spec.js","","","","get started link",""
"passed","Mon Nov 03 03:50:33 GMT 2025","Mon Nov 03 03:50:35 GMT 2025","1511","webkit","example.spec.js","","","","get started link",""
"passed","Mon Nov 03 03:50:22 GMT 2025","Mon Nov 03 03:50:23 GMT 2025","671","chromium","example.spec.js","","","","has title",""
"passed","Mon Nov 03 03:50:24 GMT 2025","Mon Nov 03 03:50:25 GMT 2025","1159","firefox","example.spec.js","","","","has title",""
"passed","Mon Nov 03 03:50:26 GMT 2025","Mon Nov 03 03:50:27 GMT 2025","852","firefox","example.spec.js","","","","get started link",""
