"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 29 03:44:46 GMT 2025","Thu May 29 03:44:46 GMT 2025","339","chromium","example.spec.js","","","","get started link",""
"passed","Thu May 29 03:44:48 GMT 2025","Thu May 29 03:44:49 GMT 2025","609","firefox","example.spec.js","","","","get started link",""
"passed","Thu May 29 03:44:42 GMT 2025","Thu May 29 03:44:43 GMT 2025","462","chromium","example.spec.js","","","","has title",""
"passed","Thu May 29 03:44:47 GMT 2025","Thu May 29 03:44:48 GMT 2025","1135","firefox","example.spec.js","","","","has title",""
"passed","Thu May 29 03:44:50 GMT 2025","Thu May 29 03:44:53 GMT 2025","3215","webkit","example.spec.js","","","","has title",""
"passed","Thu May 29 03:44:54 GMT 2025","Thu May 29 03:44:55 GMT 2025","922","webkit","example.spec.js","","","","get started link",""
