"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 23 04:01:06 GMT 2025","Wed Jul 23 04:01:07 GMT 2025","1115","firefox","example.spec.js","","","","has title",""
"passed","Wed Jul 23 04:01:07 GMT 2025","Wed Jul 23 04:01:08 GMT 2025","701","firefox","example.spec.js","","","","get started link",""
"passed","Wed Jul 23 04:00:58 GMT 2025","Wed Jul 23 04:01:05 GMT 2025","7447","chromium","example.spec.js","","","","get started link",""
"passed","Wed Jul 23 04:01:09 GMT 2025","Wed Jul 23 04:01:11 GMT 2025","1873","webkit","example.spec.js","","","","has title",""
"passed","Wed Jul 23 04:01:12 GMT 2025","Wed Jul 23 04:01:13 GMT 2025","1003","webkit","example.spec.js","","","","get started link",""
"passed","Wed Jul 23 04:00:55 GMT 2025","Wed Jul 23 04:00:55 GMT 2025","460","chromium","example.spec.js","","","","has title",""
