"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 04 04:15:49 GMT 2025","Mon Aug 04 04:15:52 GMT 2025","3171","webkit","example.spec.js","","","","has title",""
"passed","Mon Aug 04 04:15:53 GMT 2025","Mon Aug 04 04:15:54 GMT 2025","943","webkit","example.spec.js","","","","get started link",""
"passed","Mon Aug 04 04:15:47 GMT 2025","Mon Aug 04 04:15:48 GMT 2025","723","firefox","example.spec.js","","","","get started link",""
"passed","Mon Aug 04 04:15:44 GMT 2025","Mon Aug 04 04:15:45 GMT 2025","343","chromium","example.spec.js","","","","get started link",""
"passed","Mon Aug 04 04:15:45 GMT 2025","Mon Aug 04 04:15:47 GMT 2025","1090","firefox","example.spec.js","","","","has title",""
"passed","Mon Aug 04 04:15:41 GMT 2025","Mon Aug 04 04:15:42 GMT 2025","775","chromium","example.spec.js","","","","has title",""
