"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 05 03:48:14 GMT 2025","Thu Jun 05 03:48:15 GMT 2025","855","chromium","example.spec.js","","","","has title",""
"passed","Thu Jun 05 03:48:20 GMT 2025","Thu Jun 05 03:48:21 GMT 2025","463","chromium","example.spec.js","","","","get started link",""
"passed","Thu Jun 05 03:48:25 GMT 2025","Thu Jun 05 03:48:30 GMT 2025","4923","webkit","example.spec.js","","","","has title",""
"passed","Thu Jun 05 03:48:23 GMT 2025","Thu Jun 05 03:48:24 GMT 2025","615","firefox","example.spec.js","","","","get started link",""
"passed","Thu Jun 05 03:48:21 GMT 2025","Thu Jun 05 03:48:22 GMT 2025","1284","firefox","example.spec.js","","","","has title",""
"passed","Thu Jun 05 03:48:31 GMT 2025","Thu Jun 05 03:48:32 GMT 2025","975","webkit","example.spec.js","","","","get started link",""
