"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 12 03:26:29 GMT 2025","Wed Mar 12 03:26:30 GMT 2025","381","chromium","example.spec.js","","","","get started link",""
"passed","Wed Mar 12 03:26:27 GMT 2025","Wed Mar 12 03:26:27 GMT 2025","491","chromium","example.spec.js","","","","has title",""
"passed","Wed Mar 12 03:26:36 GMT 2025","Wed Mar 12 03:26:39 GMT 2025","3603","webkit","example.spec.js","","","","has title",""
"passed","Wed Mar 12 03:26:31 GMT 2025","Wed Mar 12 03:26:32 GMT 2025","1133","firefox","example.spec.js","","","","has title",""
"passed","Wed Mar 12 03:26:40 GMT 2025","Wed Mar 12 03:26:41 GMT 2025","1212","webkit","example.spec.js","","","","get started link",""
"passed","Wed Mar 12 03:26:34 GMT 2025","Wed Mar 12 03:26:35 GMT 2025","723","firefox","example.spec.js","","","","get started link",""
