"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 01 03:52:15 GMT 2025","Mon Sep 01 03:52:16 GMT 2025","999","webkit","example.spec.js","","","","get started link",""
"passed","Mon Sep 01 03:52:07 GMT 2025","Mon Sep 01 03:52:08 GMT 2025","1176","firefox","example.spec.js","","","","has title",""
"passed","Mon Sep 01 03:52:10 GMT 2025","Mon Sep 01 03:52:14 GMT 2025","4085","webkit","example.spec.js","","","","has title",""
"passed","Mon Sep 01 03:52:08 GMT 2025","Mon Sep 01 03:52:09 GMT 2025","735","firefox","example.spec.js","","","","get started link",""
"passed","Mon Sep 01 03:52:05 GMT 2025","Mon Sep 01 03:52:06 GMT 2025","349","chromium","example.spec.js","","","","has title",""
"passed","Mon Sep 01 03:52:06 GMT 2025","Mon Sep 01 03:52:06 GMT 2025","435","chromium","example.spec.js","","","","get started link",""
