"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 25 03:36:25 GMT 2025","Fri Apr 25 03:36:26 GMT 2025","913","webkit","example.spec.js","","","","get started link",""
"passed","Fri Apr 25 03:36:20 GMT 2025","Fri Apr 25 03:36:20 GMT 2025","362","chromium","example.spec.js","","","","get started link",""
"passed","Fri Apr 25 03:36:19 GMT 2025","Fri Apr 25 03:36:20 GMT 2025","326","chromium","example.spec.js","","","","has title",""
"passed","Fri Apr 25 03:36:22 GMT 2025","Fri Apr 25 03:36:23 GMT 2025","692","firefox","example.spec.js","","","","get started link",""
"passed","Fri Apr 25 03:36:24 GMT 2025","Fri Apr 25 03:36:25 GMT 2025","669","webkit","example.spec.js","","","","has title",""
"passed","Fri Apr 25 03:36:21 GMT 2025","Fri Apr 25 03:36:22 GMT 2025","1140","firefox","example.spec.js","","","","has title",""
