"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 16 03:52:13 GMT 2025","Mon Jun 16 03:52:14 GMT 2025","424","chromium","example.spec.js","","","","get started link",""
"passed","Mon Jun 16 03:52:14 GMT 2025","Mon Jun 16 03:52:16 GMT 2025","1587","firefox","example.spec.js","","","","has title",""
"passed","Mon Jun 16 03:52:13 GMT 2025","Mon Jun 16 03:52:13 GMT 2025","480","chromium","example.spec.js","","","","has title",""
"passed","Mon Jun 16 03:52:21 GMT 2025","Mon Jun 16 03:52:22 GMT 2025","897","webkit","example.spec.js","","","","get started link",""
"passed","Mon Jun 16 03:52:18 GMT 2025","Mon Jun 16 03:52:21 GMT 2025","2601","webkit","example.spec.js","","","","has title",""
"passed","Mon Jun 16 03:52:16 GMT 2025","Mon Jun 16 03:52:17 GMT 2025","669","firefox","example.spec.js","","","","get started link",""
