"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 16 03:30:40 GMT 2025","Tue Sep 16 03:30:41 GMT 2025","1210","firefox","example.spec.js","","","","has title",""
"passed","Tue Sep 16 03:30:39 GMT 2025","Tue Sep 16 03:30:39 GMT 2025","426","chromium","example.spec.js","","","","get started link",""
"passed","Tue Sep 16 03:30:44 GMT 2025","Tue Sep 16 03:30:48 GMT 2025","3977","webkit","example.spec.js","","","","has title",""
"passed","Tue Sep 16 03:30:42 GMT 2025","Tue Sep 16 03:30:43 GMT 2025","761","firefox","example.spec.js","","","","get started link",""
"passed","Tue Sep 16 03:30:37 GMT 2025","Tue Sep 16 03:30:38 GMT 2025","321","chromium","example.spec.js","","","","has title",""
"passed","Tue Sep 16 03:30:48 GMT 2025","Tue Sep 16 03:30:50 GMT 2025","1492","webkit","example.spec.js","","","","get started link",""
