"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 10 03:48:17 GMT 2025","Tue Jun 10 03:48:18 GMT 2025","386","chromium","example.spec.js","","","","get started link",""
"passed","Tue Jun 10 03:48:25 GMT 2025","Tue Jun 10 03:48:26 GMT 2025","891","webkit","example.spec.js","","","","get started link",""
"passed","Tue Jun 10 03:48:20 GMT 2025","Tue Jun 10 03:48:21 GMT 2025","778","firefox","example.spec.js","","","","get started link",""
"passed","Tue Jun 10 03:48:22 GMT 2025","Tue Jun 10 03:48:24 GMT 2025","2467","webkit","example.spec.js","","","","has title",""
"passed","Tue Jun 10 03:48:18 GMT 2025","Tue Jun 10 03:48:20 GMT 2025","1239","firefox","example.spec.js","","","","has title",""
"passed","Tue Jun 10 03:48:14 GMT 2025","Tue Jun 10 03:48:15 GMT 2025","1052","chromium","example.spec.js","","","","has title",""
