"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 04 03:50:22 GMT 2025","Fri Jul 04 03:50:23 GMT 2025","1101","firefox","example.spec.js","","","","has title",""
"passed","Fri Jul 04 03:50:28 GMT 2025","Fri Jul 04 03:50:29 GMT 2025","835","webkit","example.spec.js","","","","get started link",""
"passed","Fri Jul 04 03:50:21 GMT 2025","Fri Jul 04 03:50:22 GMT 2025","406","chromium","example.spec.js","","","","get started link",""
"passed","Fri Jul 04 03:50:19 GMT 2025","Fri Jul 04 03:50:19 GMT 2025","362","chromium","example.spec.js","","","","has title",""
"passed","Fri Jul 04 03:50:25 GMT 2025","Fri Jul 04 03:50:27 GMT 2025","1729","webkit","example.spec.js","","","","has title",""
"passed","Fri Jul 04 03:50:24 GMT 2025","Fri Jul 04 03:50:24 GMT 2025","672","firefox","example.spec.js","","","","get started link",""
