"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 10 03:26:30 GMT 2025","Wed Sep 10 03:26:31 GMT 2025","1198","firefox","example.spec.js","","","","has title",""
"passed","Wed Sep 10 03:26:29 GMT 2025","Wed Sep 10 03:26:29 GMT 2025","589","chromium","example.spec.js","","","","get started link",""
"passed","Wed Sep 10 03:26:38 GMT 2025","Wed Sep 10 03:26:39 GMT 2025","1021","webkit","example.spec.js","","","","get started link",""
"passed","Wed Sep 10 03:26:31 GMT 2025","Wed Sep 10 03:26:32 GMT 2025","798","firefox","example.spec.js","","","","get started link",""
"passed","Wed Sep 10 03:26:33 GMT 2025","Wed Sep 10 03:26:37 GMT 2025","4108","webkit","example.spec.js","","","","has title",""
"passed","Wed Sep 10 03:26:28 GMT 2025","Wed Sep 10 03:26:29 GMT 2025","562","chromium","example.spec.js","","","","has title",""
