"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 06 03:46:39 GMT 2025","Fri Jun 06 03:46:40 GMT 2025","355","chromium","example.spec.js","","","","get started link",""
"passed","Fri Jun 06 03:46:36 GMT 2025","Fri Jun 06 03:46:37 GMT 2025","499","chromium","example.spec.js","","","","has title",""
"passed","Fri Jun 06 03:46:46 GMT 2025","Fri Jun 06 03:46:47 GMT 2025","925","webkit","example.spec.js","","","","get started link",""
"passed","Fri Jun 06 03:46:44 GMT 2025","Fri Jun 06 03:46:46 GMT 2025","1689","webkit","example.spec.js","","","","has title",""
"passed","Fri Jun 06 03:46:41 GMT 2025","Fri Jun 06 03:46:42 GMT 2025","1238","firefox","example.spec.js","","","","has title",""
"passed","Fri Jun 06 03:46:42 GMT 2025","Fri Jun 06 03:46:43 GMT 2025","733","firefox","example.spec.js","","","","get started link",""
