"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 21 03:39:51 GMT 2025","Tue Oct 21 03:39:52 GMT 2025","367","chromium","example.spec.js","","","","get started link",""
"passed","Tue Oct 21 03:39:56 GMT 2025","Tue Oct 21 03:40:06 GMT 2025","9568","webkit","example.spec.js","","","","has title",""
"passed","Tue Oct 21 03:39:52 GMT 2025","Tue Oct 21 03:39:54 GMT 2025","1313","firefox","example.spec.js","","","","has title",""
"passed","Tue Oct 21 03:39:50 GMT 2025","Tue Oct 21 03:39:50 GMT 2025","495","chromium","example.spec.js","","","","has title",""
"passed","Tue Oct 21 03:39:54 GMT 2025","Tue Oct 21 03:39:55 GMT 2025","752","firefox","example.spec.js","","","","get started link",""
"passed","Tue Oct 21 03:40:07 GMT 2025","Tue Oct 21 03:40:09 GMT 2025","1723","webkit","example.spec.js","","","","get started link",""
