"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 07 03:41:11 GMT 2025","Wed May 07 03:41:12 GMT 2025","369","chromium","example.spec.js","","","","has title",""
"passed","Wed May 07 03:41:20 GMT 2025","Wed May 07 03:41:21 GMT 2025","899","webkit","example.spec.js","","","","get started link",""
"passed","Wed May 07 03:41:12 GMT 2025","Wed May 07 03:41:12 GMT 2025","376","chromium","example.spec.js","","","","get started link",""
"passed","Wed May 07 03:41:13 GMT 2025","Wed May 07 03:41:14 GMT 2025","1122","firefox","example.spec.js","","","","has title",""
"passed","Wed May 07 03:41:17 GMT 2025","Wed May 07 03:41:19 GMT 2025","2066","webkit","example.spec.js","","","","has title",""
"passed","Wed May 07 03:41:15 GMT 2025","Wed May 07 03:41:16 GMT 2025","876","firefox","example.spec.js","","","","get started link",""
