"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 24 03:33:34 GMT 2025","Mon Mar 24 03:33:36 GMT 2025","1694","firefox","example.spec.js","","","","get started link",""
"passed","Mon Mar 24 03:33:39 GMT 2025","Mon Mar 24 03:33:40 GMT 2025","919","webkit","example.spec.js","","","","get started link",""
"passed","Mon Mar 24 03:33:32 GMT 2025","Mon Mar 24 03:33:32 GMT 2025","340","chromium","example.spec.js","","","","get started link",""
"passed","Mon Mar 24 03:33:31 GMT 2025","Mon Mar 24 03:33:32 GMT 2025","286","chromium","example.spec.js","","","","has title",""
"passed","Mon Mar 24 03:33:38 GMT 2025","Mon Mar 24 03:33:38 GMT 2025","735","webkit","example.spec.js","","","","has title",""
"passed","Mon Mar 24 03:33:33 GMT 2025","Mon Mar 24 03:33:34 GMT 2025","1049","firefox","example.spec.js","","","","has title",""
