"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 14 03:51:27 GMT 2025","Thu Aug 14 03:51:31 GMT 2025","4059","webkit","example.spec.js","","","","has title",""
"passed","Thu Aug 14 03:51:22 GMT 2025","Thu Aug 14 03:51:23 GMT 2025","443","chromium","example.spec.js","","","","get started link",""
"passed","Thu Aug 14 03:51:32 GMT 2025","Thu Aug 14 03:51:32 GMT 2025","953","webkit","example.spec.js","","","","get started link",""
"passed","Thu Aug 14 03:51:25 GMT 2025","Thu Aug 14 03:51:26 GMT 2025","775","firefox","example.spec.js","","","","get started link",""
"passed","Thu Aug 14 03:51:22 GMT 2025","Thu Aug 14 03:51:22 GMT 2025","322","chromium","example.spec.js","","","","has title",""
"passed","Thu Aug 14 03:51:23 GMT 2025","Thu Aug 14 03:51:25 GMT 2025","1183","firefox","example.spec.js","","","","has title",""
