"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 14 03:26:45 GMT 2025","Fri Mar 14 03:26:45 GMT 2025","364","chromium","example.spec.js","","","","has title",""
"passed","Fri Mar 14 03:26:46 GMT 2025","Fri Mar 14 03:26:46 GMT 2025","349","chromium","example.spec.js","","","","get started link",""
"passed","Fri Mar 14 03:26:48 GMT 2025","Fri Mar 14 03:26:49 GMT 2025","1205","firefox","example.spec.js","","","","get started link",""
"passed","Fri Mar 14 03:26:47 GMT 2025","Fri Mar 14 03:26:48 GMT 2025","1139","firefox","example.spec.js","","","","has title",""
"passed","Fri Mar 14 03:26:51 GMT 2025","Fri Mar 14 03:26:53 GMT 2025","1228","webkit","example.spec.js","","","","has title",""
"passed","Fri Mar 14 03:26:53 GMT 2025","Fri Mar 14 03:26:54 GMT 2025","878","webkit","example.spec.js","","","","get started link",""
